j,i,lat,lon,THETA_W850,THETA_E850,GPH850,GPH500,SLP,T2C,RH2,U10M,V10M,TC1000,RH1000,U1000,V1000,TC975,RH975,U975,V975,TC950,RH950,U950,V950,TC925,RH925,U925,V925,TC850,RH850,U850,V850,TC700,RH700,U700,V700,TC500,RH500,U500,V500,TC300,RH300,U300,V300,label
138,292,43.140366,26.033117,0.029252006,26.05305,153.82973,573.27216,1022.98596,6.1230145,80.921196,0.5227938,5.245213,nan,nan,nan,nan,nan,nan,nan,nan,8.443709,57.420063,2.734264,6.9998164,8.310385,45.290398,2.2905407,5.145364,8.006029,18.618073,-1.2558746,2.832831,-0.53195125,26.249054,-1.3636464,-0.8694887,-18.367434,24.495102,1.0562717,-7.3298893,-46.455452,15.24018,3.6408587,-10.3257065,28
139,292,43.252655,26.033117,0.088880934,26.172998,153.88066,573.26764,1023.1806,6.336079,79.33515,0.39023736,4.9586787,nan,nan,nan,nan,nan,nan,nan,nan,9.547358,47.524017,3.1935,6.7435784,8.566479,42.067913,2.2812314,3.9428778,8.050934,18.910408,-1.345749,3.13003,-0.53829634,25.846943,-1.1512597,-0.90057343,-18.389559,25.94055,1.1690638,-7.222817,-46.482544,15.410957,3.7814064,-10.2691,28
140,292,43.364944,26.033117,0.06584628,26.12782,153.90321,573.2781,1023.2759,5.8887944,80.6089,0.034314174,4.254147,nan,nan,nan,nan,nan,nan,nan,nan,9.166573,48.9407,3.3598413,6.2390733,8.199273,45.015675,1.9986526,4.2421665,8.222881,17.716707,-1.2316295,3.3489013,-0.5836026,26.212715,-0.99067783,-0.9306025,-18.42258,27.412683,1.3031147,-7.0297666,-46.513332,15.537709,3.9083505,-10.182799,28
141,292,43.477234,26.033117,0.050568197,26.098276,153.94061,573.2817,1023.3858,5.6170044,81.2402,-0.23703282,3.7894385,nan,nan,nan,nan,8.091335,64.75354,3.339086,9.270787,8.841509,50.3962,3.2940927,5.682975,7.9143744,47.59138,1.6414676,4.463776,8.36146,16.776222,-1.1351718,3.5136583,-0.62680227,26.5058,-0.83243626,-0.939784,-18.454002,28.856293,1.4435604,-6.837274,-46.545338,15.667111,4.028145,-10.095969,28
142,292,43.589523,26.033117,0.050112206,26.098547,154.01715,573.26764,1023.50977,5.6741586,80.82069,-0.36267272,3.8276608,nan,nan,nan,nan,8.4404,61.135067,3.1627376,7.559564,8.580651,52.71311,2.4786026,5.168372,7.8873787,48.94596,0.9914283,4.605355,8.427183,16.401005,-1.0353769,3.498484,-0.6691871,26.748661,-0.6814775,-0.89394766,-18.486515,30.156816,1.6237992,-6.5886283,-46.575897,15.748322,4.139203,-9.920901,28
143,292,43.701813,26.033117,0.036457036,26.07185,154.08548,573.2484,1023.6522,5.517213,81.74272,-0.49123183,3.6498294,nan,nan,nan,nan,8.578781,59.545116,2.8143487,6.0934186,8.3520155,54.98477,1.7092257,4.715336,7.889633,49.753155,0.41760468,4.658176,8.508097,15.848978,-0.9029639,3.4275212,-0.7097329,26.980227,-0.52926177,-0.81888384,-18.525465,31.490866,1.7936873,-6.3276186,-46.605217,15.791267,4.2291393,-9.761221,28
144,292,43.814102,26.033117,0.036188785,26.07406,154.14307,573.2079,1023.86206,5.029499,84.41712,-0.63700336,3.0401196,nan,nan,nan,nan,8.159129,62.451973,1.9651672,4.8182883,8.110349,57.794777,0.9549792,4.4221983,7.9123864,49.758392,0.0322386,4.593049,8.655258,15.078691,-0.72759753,3.2775104,-0.7499574,27.151047,-0.3902734,-0.6671006,-18.573204,32.772118,1.9490098,-6.047829,-46.631027,15.819261,4.299034,-9.613622,28
85,293,37.18903,26.197605,0.12620659,26.266132,152.10226,572.1014,1019.83124,16.208126,65.84591,-3.8397634,-4.5723944,14.176954,63.200977,-4.048078,-4.8320785,12.173999,66.46154,-3.82716,-4.644113,10.894524,56.020466,-3.724706,-4.328989,10.2084675,43.56756,-3.6053069,-4.0739546,8.382497,17.364946,-3.116616,-4.929992,0.6547629,10.139306,-2.7861843,-6.483745,-17.568516,11.362893,1.1135819,-10.014312,-45.352802,8.250932,3.1858087,-18.422941,28
86,293,37.30132,26.197605,0.11535108,26.244719,152.11636,572.1058,1019.9094,15.919983,65.959274,-4.1679034,-4.245951,13.95089,63.13696,-4.405503,-4.4727287,11.960136,65.918915,-4.195649,-4.2944055,10.823932,53.602993,-4.168322,-4.028702,10.200117,42.68031,-3.97122,-3.8220153,8.3687525,17.3614,-3.284308,-4.768072,0.6287023,10.587066,-3.1056309,-6.28334,-17.560305,11.763694,0.9474092,-10.011588,-45.415955,8.253057,2.8505359,-18.092262,28
87,293,37.41361,26.197605,0.09130195,26.19709,152.1354,572.1162,1020.00995,15.540337,66.69045,-4.484127,-3.8333263,13.717362,63.799934,-4.7538967,-4.0194783,11.733561,65.9856,-4.590899,-3.8359754,10.731916,52.229504,-4.5425,-3.6695478,10.122328,43.019157,-4.2189064,-3.5417602,8.352274,17.26618,-3.44335,-4.566879,0.58859843,11.00776,-3.423607,-6.082446,-17.552473,12.217053,0.7534869,-10.018452,-45.46995,8.287092,2.5348861,-17.801943,28
